miR-200bc/429:2,526
miR-590/590-3p:1,522
miR-19:1,522
miR-495/1192:1,514
miR-339-5p,510
miR-504,508
miR-17-5p/20/93.mr/106/519.d:1,504
miR-146,498
miR-26ab/1297:1,492
miR-496,488
miR-490/490-3p,482
miR-23ab:2,478
miR-26ab/1297:2,474
miR-27ab:1,466
miR-125a-3p,464
miR-383,460
miR-19:2,454
miR-875-5p,448
miR-130/301:1,446
miR-144:1,444
miR-431,442
miR-122,442
miR-137:1,430
miR-154,426
miR-25/32/92/92ab/363/367:2,422
miR-27ab:2,412
miR-101:1,412
miR-324-5p,410
miR-130/301:2,402
miR-378/422a,398
miR-128:1,394
miR-25/32/92/92ab/363/367:1,390
miR-134,380
miR-182:1,374
miR-202/202-3p:1,372
miR-328,370
miR-23ab:1,366
let-7/98:2,364
miR-411,362
let-7/98:1,360
miR-128:2,360
miR-182:2,360
miR-28/28-5p/708,356
miR-29abc:2,356
miR-203:1,354
miR-202/202-3p:2,352
miR-448:1,352
miR-29abc:1,346
miR-346,340
miR-410:1,338
miR-192/215,338
miR-153:1,338
miR-9:2,330
miR-96/1271:1,328
miR-374/374ab:1,326
miR-129/129-5p:1,322
miR-106/302:2,320
miR-410:2,316
miR-96/1271:2,316
miR-129/129-5p:2,306
miR-218:2,306
miR-186:2,306
miR-543:2,306
miR-491/491-5p,304
miR-137:2,302
miR-9:1,302
miR-153:2,300
miR-203:2,296
miR-374/374ab:2,294
miR-186:1,286
miR-448:2,284
miR-141/200a:2,280
miR-543:1,280
miR-1/206:1,276
miR-379,272
miR-141/200a:1,270
miR-320/320abcd:2,264
miR-106/302:1,252
miR-296/296-3p,250
miR-218:1,248
miR-299/299-3p,240
miR-145:1,236
miR-145:2,234
miR-148/152:1,230
miR-34a/34b-5p/34c/34c-5p/449/449abc/699:2,220
miR-148/152:2,218
miR-99ab/100,216
miR-1/206:2,212
miR-191,204
miR-320/320abcd:1,198
miR-103/107:1,198
miR-103/107:2,184
miR-539:2,166
miR-34a/34b-5p/34c/34c-5p/449/449abc/699:1,166
miR-155:1,164
miR-214/761:1,156
miR-539:1,152
miR-340/340-5p:3,144
miR-329/362-3p:1,144
miR-377:2,144
miR-494:2,142
miR-15/16/195/424/497:3,140
miR-377:1,140
miR-24:2,138
miR-33/33ab:1,138
miR-155:2,136
miR-544:1,132
miR-214/761:2,128
miR-494:1,124
miR-590/590-3p:3,122
miR-135:1,120
miR-24:1,118
miR-125/351:1,118
miR-135:2,116
miR-33/33ab:2,114
miR-329/362-3p:2,112
miR-27ab:3,110
miR-7/7ab:2,110
miR-217:2,108
miR-421:1,104
miR-204/211:1,104
miR-138:2,102
miR-30a/30a-5p/30b/30b-5p/30cde/384-5p:3,102
miR-124/506:3,102
miR-133:1,102
miR-204/211:2,100
let-7/98:3,98
